Cantón ,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020
Cuenca,1,5,5,14,18,18,18,22,26,29,32,37,37,46,47,68
Gualaceo,,,,,,,,,,,2,2,2,2,3,3
Santa Isabel,,,,,,1,1,1,2,2,3,3,3,3,3,3
Paute ,,,,,,,,,,,,,,2,3,3
Sigsig,,,,,,,,,,,,,,,1,1
Chillanes,,,,,,1,1,1,1,2,2,2,2,2,2,2
Chimbo,,,,,,,1,1,1,1,1,1,1,1,1,1
Guaranda,,,2,2,4,4,6,7,7,8,8,9,9,9,9,10
Echeandía ,,,,,,,,,,,,,2,2,2,2
Azogues,,,,3,3,3,4,4,4,7,9,9,9,10,11,14
Cañar,,,,,,,,1,1,1,1,1,1,1,1,2
La Troncal,,,,,,,,,,2,2,4,7,9,9,15
El Tambo,,,,,,,,,2,2,3,2,2,2,4,4
Biblián,,,,,,,,,,,,,,3,3,3
Suscal,,,,,,,,,,,,,,,,1
Tulcán,,,,,,,,,,1,1,1,3,3,3,3
Montufar,,,,,,,,,,,1,1,1,1,1,1
Mira,,,,,,,,,,1,1,1,1,1,1,1
San Pedro de,,,,,,,,,,,,,,,1,1
Huaca,,,,,,,,,,,,,,,,
Colta,,,,2,2,2,6,6,6,6,6,6,6,6,6,6
Riobamba,,,,,1,2,2,2,4,4,4,4,6,6,6,8
Cumandá,,,,,,,1,1,1,1,1,1,1,1,1,1
Guano,,,,,,,,,,,,,1,1,1,1
Chambo,,,,,,,,,,,,,1,1,1,1
Salcedo,,,,,,,,,,,,1,2,2,2,2
La Maná,,,,,,,,1,1,1,1,1,1,1,1,1
Latacunga,,,,,,,,,,1,1,1,1,1,1,4
Saquisilí,,,,,,,,,,,,1,1,1,1,1
Arenillas,,,,,,,,1,1,1,1,2,2,2,2,2
Huaquillas,,,,,,,2,2,2,2,3,2,2,3,3,3
Machala,,1,1,1,1,1,1,2,5,5,7,7,8,8,9,10
Pasaje,,,,,,,,,,,,,1,1,2,2
Santa Rosa,,,,,1,1,3,4,5,8,8,8,8,8,9,10
Atahualpa,,,,,,,,,1,1,1,1,1,1,1,1
Piñas,,,,,,,,,,,,,,,1,2
Zaruma,,,,,,,,,,,,,,1,1,1
Portovelo,,,,,,,,,,,,,,,,1
El Guabo,,,,,,,,,,,,1,1,1,2,2
Esmeraldas,,,,,,2,2,3,3,4,4,4,4,4,7,7
Quinindé,,,,,,,,,,,,,,,,1
Rioverde,,,,,,,,,,,,,,,,1
Atacames,,,,,,,,,,,,,,,,1
San Cristóbal,,,,,,,,,2,2,2,2,2,2,2,2
Isabela,,,,,,,,,1,1,1,1,1,1,1,1
Santa Cruz,,,,,,,,,1,1,1,1,1,1,1,2
Alfredo,,,,,1,1,1,1,1,1,1,1,2,2,2,3
Baquerizo Moreno,,,,,,,,,,,,,,,,
Balzar,,,,,,,1,1,1,1,2,4,4,4,4,5
Colimes,,,,,,,,1,1,1,1,1,1,1,1,1
Daule,1,4,7,21,31,34,44,59,64,67,77,91,96,101,105,117
Durán,4,4,9,8,16,18,28,37,40,42,50,54,66,67,68,78
El Empalme,1,1,2,3,3,3,4,5,5,5,5,5,5,5,5,5
Guayaquil,28,61,88,114,205,251,408,526,564,611,696,837,942,963,978,1116
Milagro,1,1,1,5,6,12,21,33,35,36,45,45,48,50,50,63
Naranjal,,,,,1,1,1,1,1,1,1,2,5,6,6,6
Pedro Carbo,,,,,2,2,2,3,3,3,6,6,6,6,6,13
Salitre,,,,,,1,3,3,3,3,8,10,11,11,11,22
Samborondón,1,10,21,36,52,73,89,91,99,104,117,120,129,130,130,150
Santa Lucía,,,,,1,1,3,4,4,4,6,8,8,8,8,9
Playas,,,,,,,1,1,1,1,1,8,8,8,8,8
San Jacinto de,,,,,,,1,3,4,4,4,8,9,9,10,10
Yaguachi,,,,,,,,,,,,,,,,
El Triunfo,,,,,,,,,,1,1,2,2,2,2,2
Lomas de,,,,,,,,,,,,,,,,1
Sargentillo,,,,,,,,,,,,,,,,
Naranjito,,,,,,,,,,,,,1,1,1,2
Nobol,,,,,,,,,,,,,1,1,1,1
Gral. Antonio,,,,,,,,,,,,,1,1,1,2
Elizalde ,,,,,,,,,,,,,,,,
Isidro Ayora,,,,,,,,,,,,,,,,1
Ibarra,,,,1,2,3,4,4,4,7,7,8,8,8,8,9
Otavalo,,,,,,,,,,1,1,1,1,1,1,1
Calvas,,,,1,2,2,2,2,2,2,3,3,3,3,3,3
Loja,,,,2,2,2,2,2,3,4,4,6,7,9,15,16
Macará,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
Catamayo,,,,,,,,,1,1,1,1,1,1,1,1
Chaguarpamba,,,,,,,,,,,,1,1,1,1,1
Babahoyo,9,9,9,15,16,17,17,20,22,24,27,30,32,32,32,44
Buena Fe,,,,,1,1,1,1,1,1,1,1,1,1,1,1
Mocache,,,,,,1,1,1,1,1,1,1,1,1,1,1
Montalvo ,,,,,,,,,1,1,1,1,1,1,1,1
Quevedo,,,,,,1,3,3,4,5,13,16,16,16,16,22
Urdaneta,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
Ventanas,,,,,1,1,2,2,5,5,5,5,5,5,5,6
Vinces,,,,,,,,,2,2,2,2,2,2,2,2
Quinsaloma,,,,,,,,,,,,,,,,1
Bolívar,,,,,,,,,1,1,1,1,1,1,1,1
Jipijapa,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1
Manta,1,1,7,7,6,6,18,20,21,21,21,22,22,23,25,27
Montecristi,,,,1,1,1,1,1,1,1,1,1,1,1,2,2
Portoviejo,,,,,1,1,4,4,6,12,12,12,16,17,18,19
Santa Ana,,,,,,,,,1,1,1,1,1,1,1,1
Sucre,,,,,,,1,1,1,1,1,1,1,1,1,1
Jaramijó,,,,,,,,,,,,1,1,1,1,1
El Carmen,,,,,,,,,,,,,,,,1
Gualaquiza,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Morona,,,,1,1,1,1,1,1,1,1,1,1,1,2,2
Sucúa,,,,1,1,1,1,2,2,2,2,2,2,2,2,2
Palora,,,,,,,,2,2,2,3,3,3,4,4,4
Taisha,,,,,,,,,,1,1,1,1,1,1,1
Tena,,,,,,,,,,,,,,,,1
Orellana,,,,,,,,,,,,,1,1,1,1
Pastaza,,,,,,,,,,1,1,1,4,4,4,4
Mera,,,,,,,,,,,1,1,1,1,1,1
Mejía,,,,,,,,,,,,,1,1,1,1
Pedro Vicente,,,,,,,,,,1,1,1,1,1,1,2
Maldonado,,,,,,,,,,,,,,,,
Quito,8,8,12,16,35,50,59,63,70,101,114,130,161,161,179,204
Rumiñahui,,,,,,,1,2,2,6,6,6,8,8,10,11
Pedro Moncayo,,3,,,,,,,,,,,,,,1
Salinas,,,,,1,1,2,2,3,3,4,5,5,5,5,4
Santa Elena,,,,,,,,2,3,3,3,5,5,5,5,5
La Libertad,,,,,,,,,,,,,2,2,2,8
La,,,,1,1,4,4,7,7,7,8,9,13,13,13,3
Concordia ,,,,,,,,,,,,,,,,
Santo Domingo,,,,1,1,1,1,1,1,1,2,2,3,3,3,15
Cuyabeno,1,1,1,1,2,2,5,5,5,5,16,16,15,15,22,3
Lago Agrio,,,,,,,,1,2,3,3,4,4,4,4,24
Ambato,,,,,,,,,,,,,,,,8
San Pedro de Pelileo,,,,,,,,,,,1,1,1,1,1,1
Yantzaza,,,,,,,,,,,,,,,1,1
Zamora,,,,,,,,,,,,,,,,1
